date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:06:14	40956/40956	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/docs/4.0/examples/screenshots/navbar.jpg	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/docs/4.0/examples/screenshots/navbar.jpg	(from http://getbootstrap.com/docs/4.0/examples/)
18:06:14	101076/101076	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/docs/4.0/examples/screenshots/jumbotron.jpg	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/docs/4.0/examples/screenshots/jumbotron.jpg	(from http://getbootstrap.com/docs/4.0/examples/)
18:06:16	25098/25098	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/docs/4.0/content/figures/	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/docs/4.0/content/figures/index.html	(from http://getbootstrap.com/docs/4.0/getting-started/introduction/)
18:06:16	39654/39654	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/docs/4.0/examples/screenshots/navbar-static.jpg	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/docs/4.0/examples/screenshots/navbar-static.jpg	(from http://getbootstrap.com/docs/4.0/examples/)
18:06:18	40624/40624	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/docs/4.0/components/alerts/	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/docs/4.0/components/alerts/index.html	(from http://getbootstrap.com/docs/4.0/getting-started/introduction/)
18:06:18	27921/27921	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/docs/4.0/examples/screenshots/navbar-bottom.jpg	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/docs/4.0/examples/screenshots/navbar-bottom.jpg	(from http://getbootstrap.com/docs/4.0/examples/)
18:06:19	37932/37932	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/docs/4.0/examples/screenshots/navbar-fixed.jpg	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/docs/4.0/examples/screenshots/navbar-fixed.jpg	(from http://getbootstrap.com/docs/4.0/examples/)
18:06:21	26579/26579	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/docs/4.0/components/breadcrumb/	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/docs/4.0/components/breadcrumb/index.html	(from http://getbootstrap.com/docs/4.0/getting-started/introduction/)
18:06:21	34724/34724	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/docs/4.0/components/badge/	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/docs/4.0/components/badge/index.html	(from http://getbootstrap.com/docs/4.0/getting-started/introduction/)
18:06:23	47811/47811	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/docs/4.0/components/buttons/	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/docs/4.0/components/buttons/index.html	(from http://getbootstrap.com/docs/4.0/getting-started/introduction/)
18:06:23	44921/44921	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/docs/4.0/components/button-group/	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/docs/4.0/components/button-group/index.html	(from http://getbootstrap.com/docs/4.0/getting-started/introduction/)
18:06:24	36580/36580	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/docs/4.0/examples/screenshots/cover.jpg	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/docs/4.0/examples/screenshots/cover.jpg	(from http://getbootstrap.com/docs/4.0/examples/)
18:06:25	50132/50132	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/docs/4.0/components/carousel/	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/docs/4.0/components/carousel/index.html	(from http://getbootstrap.com/docs/4.0/getting-started/introduction/)
18:06:26	138996/138996	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/docs/4.0/components/card/	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/docs/4.0/components/card/index.html	(from http://getbootstrap.com/docs/4.0/getting-started/introduction/)
18:06:26	64394/64394	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/docs/4.0/examples/screenshots/album.jpg	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/docs/4.0/examples/screenshots/album.jpg	(from http://getbootstrap.com/docs/4.0/examples/)
18:06:27	56158/56158	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/docs/4.0/components/collapse/	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/docs/4.0/components/collapse/index.html	(from http://getbootstrap.com/docs/4.0/getting-started/introduction/)
18:06:28	79768/79768	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/docs/4.0/components/dropdowns/	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/docs/4.0/components/dropdowns/index.html	(from http://getbootstrap.com/docs/4.0/getting-started/introduction/)
18:06:31	174720/174720	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/docs/4.0/components/forms/	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/docs/4.0/components/forms/index.html	(from http://getbootstrap.com/docs/4.0/getting-started/introduction/)
